MSN,YYYYMM,Value,Column_Order,Description,Unit
TXRCBUS,197510,456.308,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197511,577.673,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197512,988.846,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197513,7989.629,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197601,1277.212,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197602,1087.483,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197603,882.198,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197604,672.973,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197605,529.469,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197606,420.706,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197607,351.95,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197608,327.176,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197609,353.007,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197610,488.845,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197611,817.854,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197612,1182.262,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197613,8391.135,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197701,1447.095,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197702,1229.291,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197703,857.068,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197704,631.735,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197705,473.686,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197706,384.297,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197707,337.28,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197708,331.138,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197709,346.875,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197710,476.104,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197711,643.115,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197712,1035.933,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197713,8193.619,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197801,1205.053,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197802,1210.296,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197803,1021.338,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197804,670.843,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197805,541.681,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197806,391.921,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197807,343.489,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197808,354.94,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197809,366.276,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197810,480.489,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197811,670.532,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197812,1003.088,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197813,8259.943,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197901,1243.537,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197902,1242.258,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197903,942.975,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197904,682.686,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197905,491.742,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197906,370.212,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197907,328.246,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197908,326.347,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197909,330.04,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197910,444.419,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197911,627.707,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197912,888.74,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,197913,7918.91,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198001,1051.683,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198002,1061.133,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198003,915.095,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198004,637.93,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198005,467.967,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198006,365.813,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198007,307.459,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
