MSN,YYYYMM,Value,Column_Order,Description,Unit
OGTCBUS,200813,61.12287,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,200913,58.819206,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,201013,60.584295,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,201113,60.322481,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,201213,60.660882,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
OGTCBUS,201313,61.726537,"1","Petroleum and Natural Gas Consumption","Quadrillion Btu"
XPTCBUS,194913,14.953639,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195013,15.331913,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195113,15.497469,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195213,14.242522,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195313,14.201994,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195413,12.470004,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195513,13.955081,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195613,14.202804,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195713,13.664766,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195813,12.454892,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,195913,12.42565,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196013,12.781859,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196113,12.595058,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196213,13.046615,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196313,13.540061,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196413,14.225681,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196513,15.000654,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196613,15.618477,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196713,15.676072,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196813,16.225404,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,196913,16.5977,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197013,16.522923,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197113,16.252501,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197213,17.042939,"2","Other Energy Consumption","Quadrillion Btu"
XPTCBUS,197313,18.333855,"2","Other Energy Consumption","Quadrillion Btu"
